Participant,SubmitTime,WorkTimeInSeconds,Input.ApproxPrice,Input.ExactPrice,Input.Utterance,Input.World,Answer.comprehensionR0.0,Answer.comprehensionR1.1,Answer.comprehensionR2.2,Answer.comprehensionR3.3,Answer.comprehensionR4.4,Answer.comprehensionR5.5,Answer.comprehensionR6.6,Answer.comprehensionR7.7,Answer.comprehensionR8.8,Answer.posterior,Answer.prior
264,Thu Jun 18 04:30:14 PDT 2020,86,12,11.99,The sandwich,only the sandwich,false,false,false,false,false,false,false,false,true,85,100
265,Thu Jun 18 01:42:36 PDT 2020,61,12,11.99,The sandwich,only the sandwich,false,false,false,false,false,false,false,false,true,5,42
266,Thu Jun 18 05:02:07 PDT 2020,325,12,11.99,The sandwich,only the sandwich,false,false,false,false,false,false,false,false,true,39,79
267,Thu Jun 18 04:42:12 PDT 2020,202,12,11.99,The sandwich,only the sandwich,false,false,false,false,false,false,false,false,true,63,81
268,Thu Jun 18 01:30:17 PDT 2020,52,12,11.99,The sandwich,only the sandwich,false,false,false,false,false,true,false,false,false,85,90
269,Thu Jun 18 02:28:38 PDT 2020,91,13,12.99,The sandwich,only the sandwich,false,false,false,false,false,false,false,true,false,38,60
270,Thu Jun 18 02:42:41 PDT 2020,248,13,12.99,The sandwich,only the sandwich,false,false,false,false,false,false,false,true,false,88,19
271,Thu Jun 18 02:24:49 PDT 2020,194,13,12.99,The sandwich,only the sandwich,false,false,false,false,false,false,false,true,false,1,92
272,Thu Jun 18 02:03:15 PDT 2020,32,13,12.99,The sandwich,only the sandwich,false,false,false,false,false,false,false,true,false,100,100
273,Thu Jun 18 01:18:34 PDT 2020,1008,13,12.99,The sandwich,only the sandwich,false,false,false,false,false,false,false,true,false,4,7
274,Thu Jun 18 01:06:56 PDT 2020,58,15,14.99,The sandwich,only the sandwich,false,false,false,false,false,true,false,false,false,38,27
275,Thu Jun 18 03:55:59 PDT 2020,57,15,14.99,The sandwich,only the sandwich,false,false,false,false,false,true,false,false,false,11,69
276,Thu Jun 18 04:22:26 PDT 2020,124,15,14.99,The sandwich,only the sandwich,false,false,false,false,false,true,false,false,false,0,100
277,Thu Jun 18 04:12:40 PDT 2020,81,15,14.99,The sandwich,only the sandwich,false,false,false,false,false,true,false,false,false,13,85
278,Thu Jun 18 02:31:18 PDT 2020,172,15,14.99,The sandwich,only the sandwich,false,false,false,false,false,true,false,false,false,25,97
279,Thu Jun 18 01:14:33 PDT 2020,236,17,16.99,The sandwich,only the sandwich,false,false,false,true,false,false,false,false,false,5,20
